Gene no.,Gene name,Function,"Fold change, space/ground",Hfqa,O2a
PA3645,fabZ,(3R)-Hydroxymyristoyl acyl carrier protein dehydratase,0.38,,
PA3646,lpxD,UDP-3-O-(3-hydroxymyristoyl) glucosamineN-acyltransferase,0.40,,
PA3655,tsf,Elongation factor Ts,0.34,,
PA3656,rpsB,30S ribosomal protein S2,0.32,,
PA3686,adk,Adenylate kinase,0.47,×,
PA3723,PA3723,Probable flavin mononucleotide oxidoreductase,2.49,,×
PA3742,rplS,50S ribosomal protein L19,0.42,,
PA3743,trmD,tRNA [guanine-N(1)-]-methyltransferase,0.33,,
PA3744,rimM,16S rRNA-processing protein,0.29,,
PA3745,rpsP,30S ribosomal protein S16,0.25,,
PA3785,PA3785,Hypothetical protein,2.14,,
PA3795,PA3795,Probable oxidoreductase,0.46,×,
PA3807,ndk,Nucleoside diphosphate kinase,0.38,,
PA3814,iscS,l-Cysteine desulfurase (pyridoxal phosphate-dependent),0.47,,
PA3834,valS,Valyl-tRNA synthetase,0.50,,
PA3920,PA3920,Probable metal-transporting P-type ATPase,2.39,,×
PA4031,ppa,Inorganic pyrophosphatase,0.48,×,
PA4053,ribH,Riboflavin synthase subunit beta,0.50,,
PA4220,PA4220,Hypothetical protein,2.47,×,
PA4238,rpoA,DNA-directed RNA polymerase alpha subunit,0.42,,
PA4239,rpsD,30S ribosomal protein S4,0.31,,
PA4240,rpsK,30S ribosomal protein S11,0.38,,
PA4241,rpsM,30S ribosomal protein S13,0.34,,
PA4242,rpmJ,50S ribosomal protein L36,0.16,,
PA4243,secY,Preprotein translocase SecY,0.31,,
PA4245,rpmD,50S ribosomal protein L30,0.36,,
PA4246,rpsE,30S ribosomal protein S5,0.41,,
PA4247,rplR,50S ribosomal protein L18,0.28,,
PA4248,rplF,50S ribosomal protein L6,0.36,,
PA4249,rpsH,30S ribosomal protein S8,0.37,,
PA4252,rplX,50S ribosomal protein L24,0.34,,
PA4254,rpsQ,30S ribosomal protein S17,0.49,,
PA4257,rpsC,30S ribosomal protein S3,0.44,,
PA4258,rplV,50S ribosomal protein L22,0.44,,
PA4259,rpsS,30S ribosomal protein S19,0.37,,
PA4260,rplB,50S ribosomal protein L2,0.49,,
PA4261,rplW,50S ribosomal protein L23,0.37,,
PA4262,rplD,50S ribosomal protein L4,0.32,,
PA4263,rplC,50S ribosomal protein L3,0.32,,
PA4266,fusA1,Elongation factor G,0.38,,
PA4267,rpsG,30S ribosomal protein S7,0.39,,
PA4268,rpsL,30S ribosomal protein S12,0.25,,
PA4271,rplL,50S ribosomal protein L7/L12,0.48,,
PA4272,rplJ,50S ribosomal protein L10,0.38,,
PA4274,rplK,50S ribosomal protein L11,0.49,,
PA4296,PA4296,Probable two-component response regulator,2.37,,
PA4306,PA4306,Hypothetical protein,2.65,,×
PA4351,PA4351,Probable acyltransferase,2.40,×,
PA4352,PA4352,Hypothetical protein,2.27,×,×
PA4386,groES,Cochaperonin GroES,0.50,,
PA4425,gmhA,Phosphoheptose isomerase,0.43,,
PA4430,PA4430,Probable cytochromeb,0.35,,
PA4431,PA4431,Probable iron-sulfur protein,0.47,,
PA4432,rpsI,30S ribosomal protein S9,0.46,,
PA4433,rplM,50S ribosomal protein L13,0.20,×,
PA4482,gatC,Aspartyl/glutamyl-tRNA amidotransferase subunit C,0.35,,
PA4563,rpsT,30S ribosomal protein S20,0.17,,
PA4568,rplU,50S ribosomal protein L21,0.22,,
PA4569,ispB,Octaprenyl-diphosphate synthase,0.49,×,
PA4602,glyA3,Serine hydroxymethyltransferase,0.40,,
PA4608,PA4608,Hypothetical protein,2.11,,
PA4610,PA4610,Hypothetical protein,2.70,,×
PA4633,PA4633,Probable chemotaxis transducer,2.03,×,
PA4671,PA4671,50S ribosomal protein L25,0.37,,
PA4692,PA4692,Hypothetical protein,2.02,,
PA4702,PA4702,Hypothetical protein,3.56,,
PA4739,PA4739,Hypothetical protein,0.49,×,×
PA4740,pnp,Polyribonucleotide nucleotidyltransferase,0.43,,
PA4743,rbfA,Ribosome binding factor A,0.48,,
PA4847,accB,Biotin carboxyl carrier protein (BCCP),0.38,,
PA4848,accC,Biotin carboxylase,0.46,,
PA4880,PA4880,Probable bacterioferritin,0.46,×,
PA4935,rpsF,30S ribosomal protein S6,0.48,,
PA4944,hfq,RNA binding protein Hfq,0.48,,
PA5049,rpmE,50S ribosomal protein L31,0.28,,
PA5054,hslU,ATP-dependent protease ATP-binding subunit,0.49,,
PA5067,hisE,Phosphoribosyl-ATP pyrophosphatase,0.49,,
PA5069,tatB,Sec-independent translocase,0.35,,
PA5078,PA5078,Hypothetical protein,0.45,,
PA5117,typA,Regulatory protein TypA,0.44,,
PA5128,secB,Export protein SecB,0.45,,
PA5276,lppL,Lipopeptide LppL precursor,0.35,,
PA5316,rpmB,50S ribosomal protein L28,0.27,,
PA5355,glcD,Glycolate oxidase subunit GlcD,2.51,×,
PA5460,PA5460,Hypothetical protein,2.21,,×
PA5490,cc4,Cytochromec4precursor,0.47,,
PA5491,PA5491,Probable cytochrome,0.35,×,
PA5555,atpG,ATP synthase subunit C,0.33,,
PA5557,atpH,ATP synthase subunit D,0.45,,
PA5569,rnpA,RNase P,0.41,,
PA5570,rpmH,50S ribosomal protein L34,0.22,,
