Proteinaccession No.a,Putative Protein function,Protein relative abundance*,p-value
CF317_007665-T1,Guanine nucleotide-binding protein subunit beta,0.775,2.98E-03
CF317_005931-T1,Aspartate–tRNA ligase,0.742,2.84E-02
CF317_004317-T1,"3′(2′),5′-bisphosphate nucleotidase",−0.650,4.52E-02
CF317_003885-T1,Putative RNA-binding protein,−0.668,4.83E-03
CF317_001861-T1,40S ribosomal protein S20,−0.709,4.62E-03
CF317_008924-T1,"Homogentisate 1,2-dioxygenase",−0.730,4.76E-02
CF317_005516-T1,60S ribosomal protein L7,−0.734,1.03E-03
CF317_008448-T1,Phosphotransferase,−0.790,4.34E-04
CF317_004501-T1,40S ribosomal protein S24,−0.796,1.53E-02
CF317_001633-T1,Histone H2A,−1.084,9.78E-03
CF317_007960-T1,60S acidic ribosomal protein P1,−1.277,9.18E-03
CF317_008933-T1,Elongation factor EF-1 beta subunit,−1.706,2.09E-02
CF317_000379-T1,Elongation factor EF-1 gamma subunit,−1.838,2.56E-03
Response to stress and chemical
Wild type
CF317_001633-T1,Histone H2A,0.752,9.78E-03
CF317_004827-T1,Casein kinase I 1,0.656,4.63E-02
Mutant
CF317_000051-T1,Plasma membrane phosphatase required for sodium stress response,0.906,1.73E-02
CF317_004588-T1,"Alpha, alpha-trehalase",0.813,2.42E-02
CF317_007665-T1,Guanine nucleotide-binding protein subunit beta,0.775,2.98E-03
CF317_006969-T1,HRXXH domain-containing protein,0.696,4.88E-02
CF317_004317-T1,"3′(2′),5′-bisphosphate nucleotidase",−0.650,4.52E-02
CF317_003570-T1,S-formylglutathione hydrolase,−0.720,1.69E-02
CF317_008979-T1,Epimerase domain-containing protein,−0.727,2.36E-02
CF317_003714-T1,Mannitol-1-phosphate 5-dehydrogenase,−0.739,9.36E-05
CF317_003513-T1,2-phosphoglycerate dehydratase,−0.870,1.53E-03
CF317_005481-T1,"6-phosphogluconate dehydrogenase, decarboxylating",−0.960,7.57E-04
CF317_000980-T1,Thioredoxin domain-containing protein,−0.983,2.08E-02
CF317_001633-T1,Histone H2A,−1.084,9.78E-03
CF317_007147-T1,Nucleoside diphosphate kinase,−1.745,8.70E-04
Biological processes and secondary metabolic process
Wild type
CF317_001633-T1,Histone H2A,0.752,9.78E-03
CF317_004119-T1,Adenylosuccinate lyase,0.703,1.58E-02
CF317_006825-T1,M20_dimer domain-containing protein,0.588,1.22E-02
CF317_002654-T1,Scytalone dehydratase,0.587,3.70E-02
CF317_002949-T1,Feruloyl esterase,−0.859,1.16E-03
Mutant
CF317_000614-T1,"1,3-beta-D-glucan-UDP glucosyltransferase",0.893,2.26E-02
CF317_006969-T1,HRXXH domain-containing protein,0.696,4.88E-02
CF317_003885-T1,Putative RNA-binding protein,−0.668,4.83E-03
CF317_002654-T1,Scytalone dehydratase,−0.679,3.70E-02
CF317_006992-T1,Serine/threonine-protein kinase,−0.682,2.90E-02
CF317_008448-T1,Phosphotransferase,−0.790,4.34E-04
CF317_003513-T1,2-phosphoglycerate dehydratase,−0.870,1.53E-03
CF317_000980-T1,Thioredoxin domain-containing protein,−0.983,2.08E-02
CF317_006154-T1,Pyruvate decarboxylase,−1.138,6.87E-03
CF317_003229-T1,Putative versicolorin reductase,−1.176,2.61E-03
CF317_007960-T1,60S acidic ribosomal protein P1,−1.277,9.18E-03
CF317_006677-T1,HIT domain-containing protein,−1.770,8.90E-03
