No.,CBS 513.88 gene,ATCC 1015 gene (FungiDB),JGI v4 protein ID,Gene name,Gene type,SM(s) produced
52,An10g00630,ASPNIDRAFT_45003,45003,,PKS-like,
53,An11g00050,ASPNIDRAFT_118659,1126949,,NRPS,
54,An11g00250,ASPNIDRAFT_179585,1111323,pynA,Hybrid,"Pyranonigrins E–J123,125"
55,An11g03920,ASPNIDRAFT_179079,1095656,,HR-PKS,
56,An11g04250,ASPNIDRAFT_129526,1154309,,NRPS-like,
57,An11g04280,ASPNIDRAFT_39026,1223918,,HR-PKS,
58,An11g05500,ASPNIDRAFT_39114,39114,,NRPS-like,
59,An11g05570,ASPNIDRAFT_47991,1224252,,HR-PKS,
60,An11g05940,No homolog,No homolog,,HR-PKS,
61,An11g05960,No homolog,No homolog,,HR-PKS,
62,An11g06260,ASPNIDRAFT_39174,1154415,,TC,
63,An11g06460,ASPNIDRAFT_118644,1112058,,Hybrid,
64,An11g07310,N/A,1112167,adaA,NR-PKS,TAN-1612166
65,An11g09720,ASPNIDRAFT_118629,1167936,,HR-PKS,
66,An12g02050,ASPNIDRAFT_190014,1084740,,NR PKS,
67,An12g02670,ASPNIDRAFT_189378,1150307,,HR-PKS,
68,An12g02730,No homolog,No homolog,,HR-PKS,
69,An12g02840,ASPNIDRAFT_43807,1172138,,NRPS,
70,An12g07070,ASPNIDRAFT_118666,1119191,,HR-PKS,
71,An12g07230,ASPNIDRAFT_42205,1103566,,NRPS,
72,An12g10090,ASPNIDRAFT_194895,1085888,,NRPS-like,
73,An12g10670,ASPNIDRAFT_45966,1085752,,TC,
74,An12g10860,ASPNIDRAFT_195043,1172993,,NRPS-like,
75,An13g01840,ASPNIDRAFT_123820,1161952,,DMAT,
76,An13g02430,ASPNIDRAFT_128638,1116441,,HR-PKS,
77,An13g02460,ASPNIDRAFT_57223,1156292,,NRPS-like,
78,An13g02960,No homolog,No homolog,,NR-PKS,
79,An13g03040,ASPNIDRAFT_44880,1116473,,NRPS,
80,An14g01910,ASPNIDRAFT_41618,1099903,,Hybrid,
81,An14g02060,ASPNIDRAFT_41629,1155978,,TC,
82,An14g04850,ASPNIDRAFT_41846,1115863,,Hybrid,
83,An15g02130,ASPNIDRAFT_181803,1104204,,HR-PKS,
84,An15g04140,ASPNIDRAFT_210217,1119988,,HR-PKS,
85,An15g05090,ASPNIDRAFT_118744,1104411,,HR-PKS,
86,An15g07530,ASPNIDRAFT_182031,1164062,,NRPS,
87,An15g07910,No homolog,No homolog,,NRPS,Ochratoxin164
88,An15g07920,No homolog,No homolog,,HR-PKS,Ochratoxin164
89,An16g00260,ASPNIDRAFT_129626,1175966,,TC,
90,An16g00600,ASPNIDRAFT_183440,1123743,,NRPS-like,
91,An16g06720,ASPNIDRAFT_118601,1108909,,NRPS,Ferrichrome
92,An18g00520,ASPNIDRAFT_187099,1128344,pyrA,Hybrid,Pyranonigrin A128
93,No homolog,ASPNIDRAFT_118581,1087173,,Hybrid,
94,No homolog,ASPNIDRAFT_128601,1170655,,Hybrid,
95,No homolog,ASPNIDRAFT_138585,1154267,,HR PKS,
96,No homolog,ASPNIDRAFT_171221,1156426,,PR PKS,
97,No homolog,ASPNIDRAFT_194381,1159236,,NR-PKS,
98,No homolog,ASPNIDRAFT_211885,1168194,,HR-PKS,
99,No homolog,ASPNIDRAFT_55153,1186328,,NRPS,
