AMR genes and its role,AMR genes that are present in the strains that are:
ISS (n = 5),153 ECLO,MBRL 1077,EB247
"Multidrug-efflux transporter, major facilitator superfamily (MFS) (TC 2.A.1)",+,+,+,+
Probable transcription regulator protein of MDR efflux pump cluster,+,+,+,+
"RND efflux system, inner membrane transporter CmeB",+,+,+,+
"RND efflux system, membrane fusion protein CmeA",+,+,+,+
"RND efflux system, outer membrane lipoprotein CmeC",+,+,,+
"RND efflux system, outer membrane lipoprotein, NodT family",+,+,+,+
"Transcription repressor of multidrug efflux pump acrAB operon, TetR (AcrR) family",+,+,+,+
"Type I secretion outer membrane protein, TolC precursor",+,+,+,+
Inner membrane component of tripartite multidrug resistance system,+,+,+,+
Membrane fusion component of tripartite multidrug resistance system,+,+,+,+
Outer membrane component of tripartite multidrug resistance system,+,+,+,+
Multiple antibiotic resistance protein MarA,+,+,+,+
Multiple antibiotic resistance protein MarB,+,+,+,+
Multiple antibiotic resistance protein MarC,+,+,+,+
Multiple antibiotic resistance protein MarR,+,+,+,+
DNA-directed RNA polymerase beta subunit (EC 2.7.7.6),+,+,+,+
DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6),+,+,+,+
LSU ribosomal protein L20p,+,+,+,+
LSU ribosomal protein L35p,+,+,+,+
Translation initiation factor 3,+,+,+,+
SSU ribosomal protein S12p (S23e),+,+,+,
SSU ribosomal protein S7p (S5e),+,+,+,
Translation elongation factor G,+,+,+,
Translation elongation factor Tu,+,+,+,
L-aspartate oxidase (EC 1.4.3.16),+,+,+,+
Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19),+,+,+,+
Quinolinate synthetase (EC 2.5.1.72),+,+,+,+
DNA gyrase subunit A (EC 5.99.1.3),+,+,+,+
DNA gyrase subunit B (EC 5.99.1.3),+,+,+,+
Topoisomerase IV subunit A (EC 5.99.1.-),+,+,+,+
Topoisomerase IV subunit B (EC 5.99.1.-),+,+,+,+
"Streptothricin acetyltransferase, Streptomyces lavendulae type",+,+,+,+
Multidrug transporter MdtB,+,+,+,+
Multidrug transporter MdtC,+,+,+,+
Multidrug transporter MdtD,+,+,+,+
Probable RND efflux membrane fusion protein,+,+,+,+
Response regulator BaeR,+,+,+,+
Sensory histidine kinase BaeS,+,+,+,+
Conserved uncharacterized protein CreA,+,+,+,+
Inner membrane protein CreD,+,+,,
Two-component response regulator CreB,+,+,,
Two-component response regulator CreC,+,+,,
